"subID","keyboard_condition","trial_type","trial_number","correct_num","response_num","response_rt","correct_space","correct_width","response_width","probe_width","adjustment_duration","stim_length","exp_version","number_deviation","width_deviation","number_deviation_ratio","width_deviation_ratio","actual_pooled_width","response_pooled_width","pooled_width_deviation","width_deviation_relative","absolute_width_deviation"
"p301","left_right_width","match",3,5,4,0.787703200010583,0.675,0.25,0.2,0.35,0.97849759995006,2.95,"exp2",-1,-0.05,-0.2,0.8,1.25,0.8,-0.45,-0.2,0.05
"p301","left_right_width","match",4,5,4,0.751763999985997,0.525,0.25,0.25,0.45,1.36004800000228,2.35,"exp2",-1,5.55111512312578e-17,-0.2,1,1.25,1,-0.25,2.22044604925031e-16,5.55111512312578e-17
"p301","left_right_width","initial",5,4,3,0.582297499990091,0.9,0.55,0.35,0.3,1.16588340001181,3.25,"exp2",-1,-0.2,-0.25,0.636363636363636,2.2,1.05,-1.15,-0.363636363636364,0.2
"p301","left_right_width","match",6,4,4,1.04919929994503,0.733333333333333,0.25,0.25,0.2,1.27889889996732,2.45,"exp2",0,0,0,1,1,1,0,0,0
"p301","left_right_width","initial",7,3,2,0.865752700017765,0.7,0.25,0.2,0.4,1.21544120000908,1.65,"exp2",-1,-0.0499999999999999,-0.333333333333333,0.8,0.75,0.4,-0.35,-0.2,0.0499999999999999
"p301","left_right_width","match",8,5,4,0.840049299993552,0.825,0.55,0.4,0.5,1.60485880001215,3.85,"exp2",-1,-0.15,-0.2,0.727272727272727,2.75,1.6,-1.15,-0.272727272727273,0.15
"p301","left_right_width","initial",9,3,2,0.814097599999513,0.7,0.55,0.4,0.55,1.24454880005214,1.95,"exp2",-1,-0.15,-0.333333333333333,0.727272727272727,1.65,0.8,-0.85,-0.272727272727273,0.15
"p301","left_right_width","initial",10,4,3,0.663638600031845,1.1,0.55,0.35,0.35,1.08508310001343,3.85,"exp2",-1,-0.2,-0.25,0.636363636363636,2.2,1.05,-1.15,-0.363636363636364,0.2
"p301","left_right_width","initial",11,3,2,0.834768900007475,1.1,0.55,0.35,0.25,1.40806229994632,2.75,"exp2",-1,-0.2,-0.333333333333333,0.636363636363636,1.65,0.7,-0.95,-0.363636363636364,0.2
"p301","left_right_width","initial",12,5,4,1.43922820000444,1.1,0.4,0.25,0.35,1.12547480000649,4.8,"exp2",-1,-0.15,-0.2,0.625,2,1,-1,-0.375,0.15
"p301","left_right_width","match",13,3,2,0.862834400031716,1.475,0.25,0.3,0.45,1.05163939995691,3.2,"exp2",-1,0.05,-0.333333333333333,1.2,0.75,0.6,-0.15,0.2,0.05
"p301","left_right_width","initial",14,4,3,0.686604999995325,0.7,0.4,0.3,0.4,1.82538579998072,2.5,"exp2",-1,-0.1,-0.25,0.75,1.6,0.9,-0.7,-0.25,0.1
"p301","left_right_width","match",15,4,3,0.607284499972593,0.6,0.4,0.3,0.3,1.49478950002231,2.2,"exp2",-1,-0.1,-0.25,0.75,1.6,0.9,-0.7,-0.25,0.1
