"","amount_p","posx1_p","posx2_p","posx3_p","posx4_p","posx5_p","center_to_center_p","edge_to_edge_p","w_p","stim_lengt_p","eccentricity_p","line1_p","line2_p","line3_p","line4_p","line5_p","amount","posx1","posx2","posx3","posx4","posx5","center_to_center","edge_to_edge","w","stim_length","eccentricity","trial_type","deg_to_pix_index","posx1_in_pix","posx2_in_pix","posx3_in_pix","posx4_in_pix","posx5_in_pix","line1","line2","line3","line4","line5","posx","setsize_cobdi","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","blocks.thisRepN","blocks.thisTrialN","blocks.thisN","blocks.thisIndex","loop.thisRepN","loop.thisTrialN","loop.thisN","loop.thisIndex","first.thisRepN","first.thisTrialN","first.thisN","first.thisIndex","second.thisRepN","second.thisTrialN","second.thisN","second.thisIndex","key_resp_3.started","key_resp_3.keys","key_resp_3.rt","key_resp.keys","key_resp.rt","response","starting_width_deg","starting_space_deg","response_width_degree","response_spacing_degree","response_width_pixel","response_spacing_pixel","next_5.keys","next_5.rt","key_resp_4.keys","key_resp_4.rt","text_3.started","text_4.started","key_resp_2.started","text_2.started","key_resp_2.keys","key_resp_2.rt","adjusting.started","next.keys","next.rt","text_control2.started","key_resp.started","key_resp.corr","text_bye.started","text_bye.stopped","participant","age","gender","resp_group","date","expName","psychopyVersion","frameRate","...100"
"265",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,8.9,10,11.1,0,0,1.1,0.55,0.55,2.75,10,"initial",36.05,321,361,400,0,0,9,9,9,0,0,NA,NA,NA,NA,NA,NA,4,0,4,0,0,41,41,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"num_2",1.74795689999883,"num_2",0.35,1.6,0.55,1.3,21.01303,49.66716,"return",13.4851103999972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,716,21,"female","left_right_width","2024-08-27_12h59.14.923","exp1","2023.1.0",60.0698371965243,NA
"266",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7.8,8.9,10,11.1,12.2,1.1,0.7,0.4,4.8,10,"initial",36.05,281,321,361,400,440,9,9,9,9,9,NA,NA,NA,NA,NA,NA,4,0,4,0,0,42,42,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"num_5",2.4828858999972,"num_5",0.45,1.2,0.35,1.1,13.37193,42.02605,"return",3.34940799999458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,716,21,"female","left_right_width","2024-08-27_12h59.14.923","exp1","2023.1.0",60.0698371965243,NA
"267",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8.9,9.63333333333333,10.3666666666667,11.1,0,0.733333333333333,0.483333333333333,0.25,2.45,10,"match",36.05,321,347,374,400,0,9,9,9,9,0,NA,NA,NA,NA,NA,NA,4,0,4,0,0,43,43,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"num_3",1.15819119999651,"num_3",0.2,0.3,0.2,0.75,7.6411,28.65413,"return",3.15744819999964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,716,21,"female","left_right_width","2024-08-27_12h59.14.923","exp1","2023.1.0",60.0698371965243,NA
"268",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,9.3,9.76666666666667,10.2333333333333,10.7,0,0.466666666666667,0.216666666666667,0.25,1.65,10,"match",36.05,335,352,369,386,0,9,9,9,9,0,NA,NA,NA,NA,NA,NA,4,0,4,0,0,44,44,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"num_3",1.33702719998837,"num_3",0.35,0.8,0.3,0.7,11.46165,26.74385,"return",5.05703069998708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,716,21,"female","left_right_width","2024-08-27_12h59.14.923","exp1","2023.1.0",60.0698371965243,NA
"269",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8.95,9.475,10,10.525,11.05,0.525,0.125,0.4,2.5,10,"match",36.05,323,342,361,379,398,9,9,9,9,9,NA,NA,NA,NA,NA,NA,4,0,4,0,0,45,45,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"num_4",3.1573911000014,"num_4",0.3,0.9,0.4,0.7,15.2822,26.74385,"return",2.99469269999827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,716,21,"female","left_right_width","2024-08-27_12h59.14.923","exp1","2023.1.0",60.0698371965243,NA
"270",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8.95,9.475,10,10.525,11.05,0.525,0.275,0.25,2.35,10,"match",36.05,323,342,361,379,398,9,9,9,9,9,NA,NA,NA,NA,NA,NA,4,0,4,0,0,46,46,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"num_4",1.42489139999088,"num_4",0.35,0.9,0.4,0.7,15.2822,26.74385,"return",2.15100299999176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,716,21,"female","left_right_width","2024-08-27_12h59.14.923","exp1","2023.1.0",60.0698371965243,NA
"271",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,8.525,10,11.475,0,0,1.475,1.225,0.25,3.2,10,"match",36.05,307,361,414,0,0,9,9,9,0,0,NA,NA,NA,NA,NA,NA,4,0,4,0,0,47,47,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"num_3",1.48288489998959,"num_3",0.5,0.9,0.3,1.05,11.46165,40.11578,"return",3.99382460000925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,716,21,"female","left_right_width","2024-08-27_12h59.14.923","exp1","2023.1.0",60.0698371965243,NA
"272",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,8.9,10,11.1,0,0,1.1,0.85,0.25,2.45,10,"initial",36.05,321,361,400,0,0,9,9,9,0,0,NA,NA,NA,NA,NA,NA,4,0,4,0,0,48,48,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"num_2",1.0681043999939,"num_2",0.4,0.8,0.2,1.2,7.6411,45.8466,"return",2.86042640000232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,716,21,"female","left_right_width","2024-08-27_12h59.14.923","exp1","2023.1.0",60.0698371965243,NA
"273",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8.6,9.3,10,10.7,11.4,0.7,0.15,0.55,3.35,10,"initial",36.05,310,335,361,386,411,9,9,9,9,9,NA,NA,NA,NA,NA,NA,4,0,4,0,0,49,49,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"num_4",2.19301159998577,"num_4",0.4,0.8,0.5,0.6,19.10275,22.9233,"return",4.37238819999038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,716,21,"female","left_right_width","2024-08-27_12h59.14.923","exp1","2023.1.0",60.0698371965243,NA
"274",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8.35,9.45,10.55,11.65,0,1.1,0.55,0.55,3.85,10,"initial",36.05,301,341,380,420,0,9,9,9,9,0,NA,NA,NA,NA,NA,NA,4,0,4,0,0,50,50,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"num_3",1.22476559999632,"num_3",0.3,1.1,0.65,1.1,24.83358,42.02605,"return",3.73448519999511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,716,21,"female","left_right_width","2024-08-27_12h59.14.923","exp1","2023.1.0",60.0698371965243,NA
